package	version	arch	tier	tier_source	subsystem	fwd_dep_count	rdep_count	rdeps	size_kb	bin_files	lib_files	unit_files	doc_files	maintainer_hook_count	security_evidence_count	candidate
libuuid1	2.41-5	amd64	dependency	auto (unclassified)	filesystem-storage	1	3	e2fsprogs,libfdisk1,util-linux	98	0	0	0	0	0	0	-
libxtables12	1.8.11-2	amd64	dependency	auto (unclassified)	networking	1	2	iproute2,libnftables1	101	0	0	0	0	0	0	-
libxxhash0	0.8.3-2	amd64	dependency	auto (unclassified)	support-libraries	1	2	libapt-pkg7.0,liblz4-1	92	0	0	0	0	0	0	-
libzstd1	1.5.7+dfsg-1	amd64	dependency	auto (unclassified)	support-libraries	1	4	dpkg,libapt-pkg7.0,libelf1t64,libssl3t64	847	0	0	0	0	0	0	-
linux-sysctl-defaults	4.12.1	all	debian-essential	auto (Priority/Essential)	device-kernel	0	0	-	19	0	2	0	3	0	0	-
login	1:4.16.0-2+really2.41-5	amd64	debian-essential	auto (Priority/Essential)	accounts-auth	7	0	-	284	4	0	0	42	0	1	-
login.defs	1:4.17.4-2	all	debian-essential	auto (Priority/Essential)	accounts-auth	0	2	login,passwd	214	0	0	0	28	0	0	-
logrotate	3.22.0-1	amd64	utility	manual (tiers/utility.txt)	maintenance	8	0	-	151	1	5	3	8	8	0	-
logsave	1.47.2-3+b11	amd64	dependency	auto (unclassified)	filesystem-storage	1	1	e2fsprogs	59	1	0	0	6	0	0	-
mawk	1.3.4.20250131-1	amd64	debian-essential	auto (Priority/Essential)	shell-userspace	1	1	base-files	292	1	0	0	22	2	0	-
mount	2.41-5	amd64	architectural	manual (tiers/architectural.txt)	filesystem-storage	5	1	systemd	496	5	0	0	18	0	2	-
nano	8.4-1+deb13u1	amd64	utility	manual (tiers/utility.txt)	admin-human-interface	3	0	-	2839	2	0	0	19	4	0	-
ncurses-base	6.5+20250216-2	all	debian-essential	auto (Priority/Essential)	admin-human-interface	0	0	-	389	0	0	0	6	0	0	-
ncurses-bin	6.5+20250216-2	amd64	debian-essential	auto (Priority/Essential)	admin-human-interface	2	0	-	665	10	0	0	22	0	0	-
netbase	6.5	all	debian-essential	auto (Priority/Essential)	networking	0	0	-	35	0	0	0	3	0	0	-
nftables	1.1.3-1	amd64	architectural	manual (tiers/architectural.txt)	networking	3	0	-	185	1	3	2	34	9	0	-
openssl-provider-legacy	3.5.6-1~deb13u2	amd64	dependency	auto (unclassified)	support-libraries	2	1	libssl3t64	420	0	3	0	4	0	0	-
passwd	1:4.17.4-2	amd64	debian-essential	auto (Priority/Essential)	accounts-auth	12	1	adduser	4758	24	2	0	370	1	6	-
perl-base	5.40.1-6	amd64	debian-essential	auto (Priority/Essential)	perl-runtime	2	6	liblocale-gettext-perl,liblocale-gettext-perl,libtext-charwidth-perl,libtext-charwidth-perl,libtext-iconv-perl,libtext-iconv-perl	7811	2	722	0	10	0	0	-
procps	2:4.0.4-9	amd64	architectural	manual (tiers/architectural.txt)	device-kernel	6	0	-	2395	18	0	1	176	2	0	-
readline-common	8.2-6	all	dependency	auto (unclassified)	admin-human-interface	0	1	libreadline8t64	89	0	0	0	8	0	0	-
sed	4.9-2+deb13u1	amd64	core	manual (tiers/core.txt)	shell-userspace	3	0	-	991	1	0	0	14	0	0	-
sensible-utils	0.0.25	all	debian-essential	auto (Priority/Essential)	admin-human-interface	0	1	cron	63	5	3	0	31	0	0	-
sqv	1.3.0-3+b2	amd64	dependency	auto (unclassified)	package-management	5	1	apt	1855	1	0	0	7	0	0	-
systemd	257.13-1~deb13u1	amd64	architectural	manual (tiers/architectural.txt)	init-service	12	6	cron-daemon-common,cron-daemon-common,systemd-sysv,systemd-sysv,udev,udev	9944	38	482	450	274	16	0	-
systemd-sysv	257.13-1~deb13u1	amd64	architectural	manual (tiers/architectural.txt)	init-service	2	2	init,logrotate	97	7	0	0	13	1	0	-
sysvinit-utils	3.14-4	amd64	debian-essential	auto (Priority/Essential)	init-service	1	0	-	104	3	7	0	9	0	0	-
tar	1.35+dfsg-3.1	amd64	debian-essential	auto (Priority/Essential)	shell-userspace	3	1	dpkg	3085	3	3	0	14	2	0	-
tzdata	2026b-0+deb13u1	all	debian-essential	auto (Priority/Essential)	debian-substrate	2	0	-	1361	0	0	0	6	0	0	-
udev	257.13-1~deb13u1	amd64	architectural	manual (tiers/architectural.txt)	device-kernel	8	0	-	10236	2	109	57	19	3	0	-
util-linux	2.41-5	amd64	architectural	manual (tiers/architectural.txt)	filesystem-storage	15	0	-	4961	67	7	3	135	12	1	-
vim-common	2:9.1.1230-2	all	utility	manual (tiers/utility.txt)	admin-human-interface	0	1	vim-tiny	1864	1	5	0	59	0	0	-
vim-tiny	2:9.1.1230-2	amd64	utility	manual (tiers/utility.txt)	admin-human-interface	5	0	-	1831	1	0	0	7	10	0	-
whiptail	0.52.25-1	amd64	utility	manual (tiers/utility.txt)	admin-human-interface	4	0	-	61	1	0	0	8	0	0	-
zlib1g	1:1.3.dfsg+really1.3.1-1+b1	amd64	dependency	auto (unclassified)	support-libraries	1	5	dpkg,libapt-pkg7.0,libbpf1,libelf1t64,libssl3t64	173	0	0	0	0	0	0	-
